barcode,length,width,height
2010725819663,70.0,3.0,3.0
2011010190887,24.0,7.0,0.2
2011012500721,32.0,10.0,1.5
2012027020013,21.0,8.0,0.5
2012047000286,35.0,2.0,1.5
2012345678910,11.0,6.0,3.0
2012604011007,10.0,8.5,2.0
2014120502335,22.0,14.0,10.0
2014907777000,31.5,29.0,5.0
2016194555613,13.0,8.5,3.0
2017081533981,6.0,5.5,8.0
2017194521141,19.0,19.0,3.0
2017194521165,26.0,19.2,3.2
2017194555160,24.0,13.5,2.0
2017194556716,13.5,8.0,3.0
2017456982048,25.0,9.0,2.0
2017456982079,24.0,8.0,2.0
2017456982093,20.5,9.0,2.5
2017456982109,22.65,9.0,2.0
2017456982116,23.0,9.0,2.0
2017793863215,10.5,5.6,14.0
2018000161940,34.0,26.0,5.0
201801036087,30.0,30.0,25.0
2018022600014,34.0,12.5,0.3
2018022600021,34.5,12.5,0.2
2018031622892,24.0,17.5,3.0
2018081799728,29.0,7.0,27.0
2018112233467,21.5,2.5,19.0
2019000818049,24.0,19.0,1.5
2019021788253,33.0,22.0,5.0
2019051200039,42.5,6.5,4.0
2019051200039;,43.0,6.0,3.0
2019060500021,21.0,17.0,0.5
2019071100883,20.0,15.0,2.0
2019080204756,60.5,15.0,10.5
2019080811106,24.7,19.8,1.5
2019080811276,23.2,18.2,1.8
2019082114106,24.0,19.0,1.3
2019082212056,23.2,18.5,1.2
2019082882716,14.0,14.0,23.5
2019100700015,43.0,5.7,4.0
2019100800319,30.0,22.5,0.4
2019100800333,16.0,11.5,3.0
2019100801095,5.5,5.5,18.0
2019112300029,31.0,4.0,3.0
2019112500023,25.5,6.0,4.5
2019155484588,23.0,15.0,0.8
2020030995181,34.2,17.7,4.0
2020784840027,9.0,9.0,9.0
2020784840683,37.0,26.0,2.0
2020784840690,46.6,32.7,3.0
2020784840768,24.0,18.0,2.0
2020784840928,18.0,18.0,4.0
20335025776,12.0,4.5,1.5
2049690280130,10.0,8.5,11.0
2089601400226,8.5,6.5,0.5
2089631021750,20.0,2.5,1.5
